id,detil,title,avgprice,comments,avgscore,fornting,address
c05f02906df5d4cd41a8e3562eb5b1cd,http://e.meituan.com/meishi/63598367/,金谷一漫烤自助餐厅（东二环泰禾店）,79,2986,3,http://p0.meituan.net/600.600/mogu/d481dbe51875a28d64e811464ea6626d135013.jpg,晋安区东二环泰禾广场泰禾新天地19号楼二楼（观光电梯旁）（19号楼手扶梯旁）
ff118f40b06342528797d9e8f1df3694,http://e.meituan.com/meishi/72049638/,兰亭序大排档,54,44,4,http://p0.meituan.net/600.600/deal/a59d250f3e8666e7b2a8769436420037265832.jpg,晋安区王庄街54号（世欧王庄一区）
1f9af04de8bcb80f0628014f2fb14f94,http://e.meituan.com/meishi/1485071/,说麻道辣（温泉店）,55,325,5,https://img.meituan.net/600.600/msmerchant/27b4a57c1132d42573b0946b576ea084657428.jpg,鼓楼区温泉支路28号一8（珊珊粥铺楼上、公交车站对面）
e285901057b1ab13d4b296eab3e421d9,http://e.meituan.com/meishi/1876313/,一品粥（六一环岛中城名仕汇店）,54,35,5,http://p0.meituan.net/600.600/poi/ab216b90a97b273f7da79e9138dc11b053248.jpg,鼓楼区六一北路624号（沃尔玛对面）
975d37f9d8b0b6c98a06ab570fbe6752,http://e.meituan.com/meishi/42191390/,谦信烧鸟居酒屋,102,139,4,https://img.meituan.net/600.600/msmerchant/75f4dd4ee2cff11c3d134e82f38f5e0331646.jpg,鼓楼区新权南路12号金福商厦12-7店面（香格里拉停车场对面，蜀九香楼下）
b0c74d65b7fb6eefaede05473d4a7a52,http://e.meituan.com/meishi/1877858/,凯宴大酒店中餐部,114,79,4,http://p0.meituan.net/600.600/deal/a6662a4d434ccfcfd229117d05247c86118897.jpg,西门万安路1号（近清荣大道）
5f2e8cd9b04e5a77ff0dc5c76f7b41a3,http://e.meituan.com/meishi/63251067/,川捷温泉高尔夫酒店·川源中餐厅,37,19,4,http://p0.meituan.net/600.600/deal/__41332148__5458061.jpg,晋安区新店镇涧田路888号川捷高尔夫酒店一层（福州火车站北站）
8b8cc6f6601c2f1f0bdb8341cb78c4ed,http://e.meituan.com/meishi/40898708/,聚鲜园（南平西路店）,79,13,4,http://p1.meituan.net/600.600/deal/ca0346c2665bd8af7dd17c6e3e60834a103771.jpg,晋安区新店南平西路99号（恒盛宾馆旁）
2569816f3c74db546a57e81d24c27296,http://e.meituan.com/meishi/79689192/,龍城渡老火锅,51,643,5,http://p0.meituan.net/600.600/mogu/c58771c1b6bd523fe354a8ef106c2039160244.jpg,连江县中心城区凤城镇文笔西路龙华花园二期23号楼4号店面（万家城市广场背后）
c5f4507cf5ee0be8f4408b87d8731f92,http://e.meituan.com/meishi/5024179/,凯旋烘焙,29,19,4,https://img.meituan.net/600.600/msmerchant/8e73a7503541310a399e44b4472a8ed032715.jpg,福州大学城源江路与源通西路交叉口东北角
